row,reaction_id,mapping_success,mapping_confidence,clipzyme_graph_prerequisite,clipzyme_supported,support_status
97,MARTS_EXT_RXN_63e6da659221,True,0.2511903206027363,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
98,MARTS_EXT_RXN_66951c0e7ed9,True,0.2921612366118671,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
99,MARTS_EXT_RXN_66c7e35bfd6a,True,0.1448570771664973,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
100,MARTS_EXT_RXN_66d9eb264140,True,0.2287864794182953,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
101,MARTS_EXT_RXN_6705f601fdae,True,0.6938727281476562,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
102,MARTS_EXT_RXN_68261f5fd64c,True,0.3077164498988353,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
103,MARTS_EXT_RXN_68d7c7a6b97f,True,0.8218085880831405,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
104,MARTS_EXT_RXN_697ad0951949,True,0.7150773020727367,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
105,MARTS_EXT_RXN_6b2dcf26c892,True,0.1984107493501588,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
106,MARTS_EXT_RXN_6bd0977b42d0,True,0.4933134408873445,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
107,MARTS_EXT_RXN_6c1cbb35db92,True,0.5065684539097673,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
108,MARTS_EXT_RXN_6c228262ac8f,True,0.0215798788891693,True,True,encoded
109,MARTS_EXT_RXN_6c7d3c1df7ff,True,0.4687267498589375,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
110,MARTS_EXT_RXN_6d6aa67d85ad,True,0.4010906949499169,False,False,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
111,MARTS_EXT_RXN_714817f4ca78,True,0.6382261639367977,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
112,MARTS_EXT_RXN_7160470e8992,True,0.0874172976854898,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
