reaction_id,mapping_success,mapping_confidence,support_status
RHEA:42836,False,,mapping_unsupported
RHEA:42840,False,,mapping_unsupported
RHEA:42844,False,,mapping_unsupported
RHEA:42852,False,,mapping_unsupported
RHEA:42984,True,0.1713581141396034,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:43056,False,,mapping_unsupported
RHEA:43136,False,,mapping_unsupported
RHEA:43340,True,0.4980386725680251,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:43368,False,,mapping_unsupported
RHEA:43452,False,,mapping_unsupported
RHEA:43460,False,,mapping_unsupported
RHEA:43572,True,0.8694248562651635,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:43892,True,0.9830842721496964,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:43904,True,0.0419962364567682,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:44012,False,,mapping_unsupported
RHEA:44240,True,0.1084453463086569,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:44260,False,,mapping_unsupported
RHEA:44264,False,,mapping_unsupported
RHEA:44268,False,,mapping_unsupported
RHEA:44272,False,,mapping_unsupported
RHEA:44276,False,,mapping_unsupported
RHEA:44280,False,,mapping_unsupported
RHEA:44284,False,,mapping_unsupported
RHEA:44296,False,,mapping_unsupported
RHEA:44300,False,,mapping_unsupported
RHEA:44664,True,0.181269161986756,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:44676,True,0.2800014331984132,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:44716,True,0.4607226567664175,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:44744,False,,mapping_unsupported
RHEA:45292,True,0.8121822758879337,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:45468,False,,mapping_unsupported
RHEA:45780,True,0.094929993367862,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:45800,True,0.3618989946707233,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:45816,True,0.9596237778260244,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:45856,False,,mapping_unsupported
RHEA:45860,False,,mapping_unsupported
RHEA:45864,False,,mapping_unsupported
RHEA:45868,False,,mapping_unsupported
RHEA:45872,False,,mapping_unsupported
RHEA:45876,False,,mapping_unsupported
RHEA:45880,False,,mapping_unsupported
RHEA:45884,False,,mapping_unsupported
RHEA:45888,False,,mapping_unsupported
RHEA:45916,False,,mapping_unsupported
RHEA:45920,False,,mapping_unsupported
RHEA:45924,False,,mapping_unsupported
RHEA:45928,False,,mapping_unsupported
RHEA:45932,False,,mapping_unsupported
RHEA:45936,False,,mapping_unsupported
RHEA:45940,False,,mapping_unsupported
RHEA:45944,False,,mapping_unsupported
RHEA:46096,False,,mapping_unsupported
RHEA:46320,True,0.2706486363950163,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:46324,True,0.2720393036843999,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:46440,True,0.5275289861403967,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:46444,True,0.0696890928817838,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:46684,True,0.2752602484116906,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:46688,True,0.2679329642174853,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:46736,True,0.4680973937797963,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:46956,False,,mapping_unsupported
RHEA:46968,True,0.1774514528087025,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:46972,True,0.1975072201821271,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:47008,True,0.100624772430128,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:47020,True,0.0201102332931971,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:47032,True,0.120390350155327,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:47040,True,0.0530168904621471,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:47052,True,0.0885172481545754,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:47420,True,0.2810040064921463,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:47572,False,,mapping_unsupported
RHEA:47580,False,,mapping_unsupported
RHEA:47588,False,,mapping_unsupported
RHEA:47592,False,,mapping_unsupported
RHEA:47608,False,,mapping_unsupported
RHEA:47640,False,,mapping_unsupported
RHEA:47644,False,,mapping_unsupported
RHEA:47692,True,0.7114337763589125,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:47864,True,0.446517315604575,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:47892,False,,mapping_unsupported
RHEA:48024,True,0.3002652274967476,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48028,True,0.1946527435368771,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48240,False,,mapping_unsupported
RHEA:48352,False,,mapping_unsupported
RHEA:48356,False,,mapping_unsupported
RHEA:48372,True,0.4547086886485958,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48388,False,,mapping_unsupported
RHEA:48500,True,0.8905226540973838,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48516,True,0.290378864663374,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48536,True,0.3326732917740627,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48540,True,0.2715882031864194,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48596,True,0.3579301110633424,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48608,True,0.2891500325718213,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
RHEA:48612,True,0.4980386725680251,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48692,True,0.2816895554190277,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48696,True,0.3309286491574492,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48700,True,0.3919728565922541,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48708,True,0.4547086886485958,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48804,True,0.5731946984171474,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48808,True,0.5550896322350772,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48812,True,0.5550896322350772,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48816,True,0.4474721034138945,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48820,True,0.4557232220791267,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48836,True,0.4733072188310759,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48840,True,0.4649226127963564,clipzyme_graph_prereq_failed:unmapped_atoms
RHEA:48852,True,0.4758158791643254,clipzyme_graph_prereq_failed:unmapped_atoms
