split_id,query_id,budget,candidate_universe,candidate_count,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,top1_is_uniprot,uniprot_above_best_positive
p0_r0,MARTS_RXN_96ac57c793266e5e,20,expanded,7093,1,0,0.0,2611,0.00038299502106472615,False,2122
p0_r0,MARTS_RXN_a5374cc39ade96ae,20,canonical,1421,1,0,0.0,108,0.009259259259259259,False,0
p0_r0,MARTS_RXN_a5374cc39ade96ae,20,expanded,7093,1,0,0.0,868,0.001152073732718894,False,760
p0_r0,MARTS_RXN_be324f8633fc718b,20,canonical,1421,1,1,1.0,18,0.05555555555555555,False,0
p0_r0,MARTS_RXN_be324f8633fc718b,20,expanded,7093,1,0,0.0,62,0.016129032258064516,False,44
p0_r0,MARTS_RXN_c2e48d0936622fb5,20,canonical,1421,1,0,0.0,652,0.0015337423312883436,False,0
p0_r0,MARTS_RXN_c2e48d0936622fb5,20,expanded,7093,1,0,0.0,3104,0.00032216494845360824,False,2452
p0_r0,MARTS_RXN_f5414ceb0f1f5ab4,20,canonical,1421,1,0,0.0,35,0.02857142857142857,False,0
p0_r0,MARTS_RXN_f5414ceb0f1f5ab4,20,expanded,7093,1,0,0.0,269,0.0037174721189591076,False,234
p0_r1,MARTS_RXN_9bfd169ae97ddf61,3,canonical,1421,1,0,0.0,136,0.007352941176470588,False,0
p0_r1,MARTS_RXN_9bfd169ae97ddf61,3,expanded,7093,1,0,0.0,491,0.002036659877800407,False,355
p0_r1,MARTS_RXN_a3395ba9b8c61185,3,canonical,1421,1,0,0.0,27,0.037037037037037035,False,0
p0_r1,MARTS_RXN_a3395ba9b8c61185,3,expanded,7093,1,0,0.0,27,0.037037037037037035,False,0
p0_r1,MARTS_RXN_a78f2392f8c21c04,3,canonical,1421,1,0,0.0,370,0.002702702702702703,False,0
p0_r1,MARTS_RXN_a78f2392f8c21c04,3,expanded,7093,1,0,0.0,2201,0.00045433893684688776,True,1831
p0_r1,MARTS_RXN_b89583d7f0d90b88,3,canonical,1421,1,0,0.0,32,0.03125,False,0
p0_r1,MARTS_RXN_b89583d7f0d90b88,3,expanded,7093,1,0,0.0,32,0.03125,False,0
p0_r1,MARTS_RXN_c9b279de04421c5d,3,canonical,1421,1,0,0.0,139,0.007194244604316547,False,0
p0_r1,MARTS_RXN_c9b279de04421c5d,3,expanded,7093,1,0,0.0,1132,0.0008833922261484099,True,993
p0_r1,MARTS_RXN_faf8834b256f41eb,3,canonical,1421,1,0,0.0,207,0.004830917874396135,False,0
p0_r1,MARTS_RXN_faf8834b256f41eb,3,expanded,7093,1,0,0.0,620,0.0016129032258064516,False,413
p0_r1,MARTS_RXN_9bfd169ae97ddf61,10,canonical,1421,1,0,0.0,136,0.007352941176470588,False,0
p0_r1,MARTS_RXN_9bfd169ae97ddf61,10,expanded,7093,1,0,0.0,491,0.002036659877800407,False,355
