reaction_id,success,fingerprint_mode,error,auxiliary_mode
RHEA:31795,False,failed,primary=empty reaction SMILES/SMARTS string; fallback=empty reaction SMILES/SMARTS string,distilled_fallback
RHEA:31807,True,official_standardized,,exact_horizyn
RHEA:31811,True,official_standardized,,exact_horizyn
RHEA:31815,True,official_standardized,,exact_horizyn
RHEA:31819,True,official_standardized,,exact_horizyn
RHEA:31823,True,official_standardized,,exact_horizyn
RHEA:31827,True,official_standardized,,exact_horizyn
RHEA:31831,False,failed,primary=Sanitization failed for SMILES input 'CCc1ncc(C)n1'; fallback=Sanitization failed for SMILES input 'CCc1ncc(C)n1',distilled_fallback
RHEA:31847,True,official_standardized,,exact_horizyn
RHEA:31851,True,official_standardized,,exact_horizyn
RHEA:31855,True,official_standardized,,exact_horizyn
RHEA:31859,True,official_standardized,,exact_horizyn
RHEA:31863,True,official_standardized,,exact_horizyn
RHEA:31867,True,official_standardized,,exact_horizyn
RHEA:31871,True,official_standardized,,exact_horizyn
RHEA:31875,True,official_standardized,,exact_horizyn
RHEA:31879,True,official_standardized,,exact_horizyn
RHEA:31883,True,official_standardized,,exact_horizyn
RHEA:31887,True,official_standardized,,exact_horizyn
RHEA:31895,True,official_standardized,,exact_horizyn
RHEA:31987,True,official_standardized,,exact_horizyn
RHEA:31991,True,official_standardized,,exact_horizyn
RHEA:31995,True,official_standardized,,exact_horizyn
RHEA:31999,True,official_standardized,,exact_horizyn
RHEA:32003,True,official_standardized,,exact_horizyn
RHEA:32011,True,official_standardized,,exact_horizyn
RHEA:32015,True,official_standardized,,exact_horizyn
RHEA:32019,True,official_standardized,,exact_horizyn
RHEA:32023,True,official_standardized,,exact_horizyn
RHEA:32027,True,official_standardized,,exact_horizyn
RHEA:32031,True,official_standardized,,exact_horizyn
RHEA:32075,True,official_standardized,,exact_horizyn
RHEA:32151,True,official_standardized,,exact_horizyn
RHEA:32295,True,official_standardized,,exact_horizyn
RHEA:32299,True,official_standardized,,exact_horizyn
RHEA:32327,True,official_standardized,,exact_horizyn
RHEA:32439,True,official_standardized,,exact_horizyn
RHEA:32539,True,official_standardized,,exact_horizyn
RHEA:32543,True,official_standardized,,exact_horizyn
RHEA:32547,True,official_standardized,,exact_horizyn
RHEA:32551,False,failed,primary=Sanitization failed for SMILES input 'CN(C)CCc1cnc2ccc(CS(=O)(=O)N3CCCC3)cc12'; fallback=Sanitization failed for SMILES input 'CN(C)CCc1cnc2ccc(CS(=O)(=O)N3CCCC3)cc12',distilled_fallback
RHEA:32555,True,official_standardized,,exact_horizyn
RHEA:32559,True,official_standardized,,exact_horizyn
RHEA:32563,True,official_standardized,,exact_horizyn
RHEA:32567,True,official_standardized,,exact_horizyn
RHEA:32571,True,official_standardized,,exact_horizyn
RHEA:32575,True,official_standardized,,exact_horizyn
RHEA:32579,True,official_standardized,,exact_horizyn
RHEA:32679,True,official_standardized,,exact_horizyn
RHEA:32687,True,official_standardized,,exact_horizyn
RHEA:32691,True,official_standardized,,exact_horizyn
RHEA:32699,True,official_standardized,,exact_horizyn
RHEA:32703,True,official_standardized,,exact_horizyn
RHEA:33103,True,official_standardized,,exact_horizyn
RHEA:33107,True,official_standardized,,exact_horizyn
RHEA:33111,True,official_standardized,,exact_horizyn
RHEA:33119,True,official_standardized,,exact_horizyn
RHEA:33123,True,official_standardized,,exact_horizyn
RHEA:33983,True,official_standardized,,exact_horizyn
RHEA:33987,True,official_standardized,,exact_horizyn
RHEA:33991,True,official_standardized,,exact_horizyn
RHEA:34255,True,official_standardized,,exact_horizyn
RHEA:34459,True,official_standardized,,exact_horizyn
RHEA:34463,True,official_standardized,,exact_horizyn
RHEA:34467,True,official_standardized,,exact_horizyn
RHEA:34503,True,official_standardized,,exact_horizyn
RHEA:34695,True,official_standardized,,exact_horizyn
RHEA:34699,True,official_standardized,,exact_horizyn
RHEA:34703,True,official_standardized,,exact_horizyn
RHEA:36063,True,official_standardized,,exact_horizyn
RHEA:38155,True,official_standardized,,exact_horizyn
RHEA:40027,True,official_standardized,,exact_horizyn
RHEA:41552,True,official_standardized,,exact_horizyn
RHEA:41628,True,official_standardized,,exact_horizyn
RHEA:42984,True,official_standardized,,exact_horizyn
RHEA:42988,True,official_standardized,,exact_horizyn
RHEA:42992,True,official_standardized,,exact_horizyn
RHEA:42996,True,official_standardized,,exact_horizyn
RHEA:43000,True,official_standardized,,exact_horizyn
RHEA:47052,True,official_standardized,,exact_horizyn
RHEA:47944,True,official_standardized,,exact_horizyn
RHEA:49628,False,failed,primary=Sanitization failed for SMILES input 'Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@H]4OP(=O)(O)O[C@@H]34)c2n1'; fallback=Sanitization failed for SMILES input 'Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@H]4OP(=O)(O)O[C@@H]34)c2n1',distilled_fallback
RHEA:49632,True,official_standardized,,exact_horizyn
RHEA:52804,True,official_standardized,,exact_horizyn
RHEA:53616,True,official_standardized,,exact_horizyn
RHEA:53620,True,official_standardized,,exact_horizyn
RHEA:53624,True,official_standardized,,exact_horizyn
RHEA:53628,True,official_standardized,,exact_horizyn
RHEA:53632,True,official_standardized,,exact_horizyn
RHEA:53640,True,official_standardized,,exact_horizyn
RHEA:53644,True,official_standardized,,exact_horizyn
RHEA:53648,True,official_standardized,,exact_horizyn
RHEA:53668,True,official_standardized,,exact_horizyn
RHEA:54040,True,official_standardized,,exact_horizyn
RHEA:54044,True,official_standardized,,exact_horizyn
RHEA:54048,True,official_standardized,,exact_horizyn
RHEA:54052,True,official_standardized,,exact_horizyn
RHEA:54056,True,official_standardized,,exact_horizyn
RHEA:54060,True,official_standardized,,exact_horizyn
RHEA:54064,True,official_standardized,,exact_horizyn
RHEA:54068,True,official_standardized,,exact_horizyn
RHEA:54072,True,official_standardized,,exact_horizyn
RHEA:54076,True,official_standardized,,exact_horizyn
RHEA:54108,True,official_standardized,,exact_horizyn
RHEA:54112,True,official_standardized,,exact_horizyn
RHEA:54116,True,official_standardized,,exact_horizyn
RHEA:54372,True,official_standardized,,exact_horizyn
