reaction_id,reaction_smiles,product_smiles,precursor_class,product_skeleton_class,n_positive_pairs,n_positive_enzymes,reaction_cluster,fold
RHEA:65188,C=C1C2(C)CC3C4(C)CCC(=O)OC(C)(C)C4=CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O=C([O-])CCC(=O)C(=O)[O-].O=O>>C=C1C2(C)CC3C(C)=C4CC(=O)OC(C)(C)C4=CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O.O=C([O-])CCC(=O)[O-].O=C=O,C=C1C2(C)CC3C(C)=C4CC(=O)OC(C)(C)C4=CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65188,0
RHEA:65192,C=C1C2(C)CC3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O.O=C([O-])CCC(=O)C(=O)[O-].O=O>>C=C1C2(C)CC3C4(C)C(=CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O)C(C)(C)C(=O)CC4O.O.O=C([O-])CCC(=O)[O-].O=C=O,C=C1C2(C)CC3C4(C)C(=CCC3(C)C1(C(=O)OC)C(=O)C(C)(O)C2=O)C(C)(C)C(=O)CC4O,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65140,4
RHEA:65248,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-].CC1Cc2cc(O)cc(O)c2C(=O)O1.[H+].[H]*[H]>>*.CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCS.O.O=C=O,CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-])C(O)C(=O)NCCC(=O)NCCS,C25_GFPP_like,C20_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:49628,1
RHEA:65252,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-].CC1Cc2cc(O)cc(O)c2C(=O)O1>>CC(C)=CCCC(C)=CCCC(C)=CCc1c(O)cc(O)c2c1CC(C)OC2=O.O=P([O-])([O-])OP(=O)([O-])O,CC(C)=CCCC(C)=CCCC(C)=CCc1c(O)cc(O)c2c1CC(C)OC2=O,C15_FPP_like,C25_bicyclic_highly_oxygenated,1,1,C15_FPP_like::RHEA:65252,3
RHEA:65256,CC(C)=CCCC(C)=CCCC(C)=CCc1c(O)cc(O)c2c1CC(C)OC2=O.O=O.[H]*[H]>>*.CC(=CCc1c(O)cc(O)c2c1CC(C)OC2=O)CCC=C(C)CCC1OC1(C)C.O,CC(=CCc1c(O)cc(O)c2c1CC(C)OC2=O)CCC=C(C)CCC1OC1(C)C,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65256,1
RHEA:65260,CC(=CCc1c(O)cc(O)c2c1CC(C)OC2=O)CCC=C(C)CCC1OC1(C)C>>CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(O)CCC2(C)C1C3,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(O)CCC2(C)C1C3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
RHEA:65264,*.CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(O)CCC2(C)C1C3>>CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)CCC2(C)C1C3.[H]*[H],CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)CCC2(C)C1C3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
RHEA:65268,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(O)CCC2(C)C1C3.CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(O)CCC2(C)C1C3.NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.O=O.[H+]>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,C20_GGPP_like,C20_polycyclic_highly_oxygenated,1,1,C20_GGPP_like::RHEA:25641,0
RHEA:65272,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)C(O)CC2C(C)(C)C(=O)CCC2(C)C1C3.CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)CCC2(C)C1C3.NC(=O)C1=CN(C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)C=CC1.O=O.[H+]>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1.O,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,C20_GGPP_like,C20_polycyclic_highly_oxygenated,1,1,C20_GGPP_like::RHEA:25641,0
RHEA:65300,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)CCC2(C)C1C3.O=C([O-])CCC(=O)C(=O)[O-].O=O>>CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)C=CC2(C)C1C3.O.O=C([O-])CCC(=O)[O-].O=C=O,CC1Cc2c3c(cc(O)c2C(=O)O1)OC1(C)CCC2C(C)(C)C(=O)C=CC2(C)C1C3,C25_GFPP_like,C25_polycyclic_highly_oxygenated,1,1,C25_GFPP_like::RHEA:65260,0
