reaction_id,reaction_signature,reaction_smiles,source
RHEA:12869,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CC=C(C)CC1,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]1(C(=C)C)CC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:13369,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(=C)C,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(=C)C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:13525,,[S]1[Fe][S][Fe+]1.CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2.O=O.[H+].[H][C@]12CC(=O)[C@](C)(C[C@H]1O)C2(C)C>>[S]1[Fe+][S][Fe+]1.[H]O[H],current
RHEA:13545,C=CC(C)(O)CCC=C(C)CCC=C(C)CCC=C(C)C>>Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,C=CC(C)(O)CC/C=C(C)CC/C=C(C)CCC=C(C)C.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C=C/C=C(C)CC/C=C(C)CCC=C(C)C.C=CC(C)=O.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],current
RHEA:13873,,[H][C@@]12CCC(=C)[C@H](CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CCCC2(C)C.[H][C@]12CCC(C(C)C)=CC1=CC[C@@]1([H])C(C)(C)CCC[C@]21C>>O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:14009,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)C,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C[C@@H]1[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])C1(C)C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:14485,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCCC2(C)CCC(C(C)C)C(O)C12,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>[H][C@]12C(=C)CCC[C@@]1(C)CC[C@@H](C(C)C)[C@@H]2O.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:14621,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CC[C@@H]1OC1(C)C>>[H][C@@]12CCC3=C(CC[C@@]4(C)[C@@]3(C)CC[C@]4([H])[C@H](C)CCC=C(C)C)[C@@]1(C)CC[C@H](O)C2(C)C,current
RHEA:14841,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@]12CCC(=C)[C@@H](CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@]1(C)CCCC2(C)C,current
RHEA:14901,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCCC(C)=CC2C(CCC(C)=CCC1)C2(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C/C1=CCC/C(C)=C/C2C(CC/C(C)=C/CC1)C2(C)C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:15809,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>COc1cc(OC)nc(NC(=O)NS(=O)(=O)N(C)S(C)(=O)=O)n1,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>COc1cc(OC)nc(NC(=O)NS(=O)(=O)N(C)S(C)(=O)=O)n1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:16337,*c1cc(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c(*)c1*>>Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,*c1c(*)c([H])c(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c1*.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>*c1c(*)c(O)c(*)c(-c2oc3c(*)c(*)c(*)c(*)c3c(=O)c2*)c1*.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],current
RHEA:16345,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCC2(C)CCC(C(C)(C)O)C2CCC(C)=CCC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>[H][C@@]12CC/C(C)=C/CC/C(C)=C/C[C@@]1(C)CC[C@H]2C(C)(C)O.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:16561,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C>>CC(C)(O)C1CCC2(C)C1CCC1(C)C2CCC2C3(C)CCCC(C)(C)C3CCC21C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CCC=C(C)C.[H]O[H]>>[H][C@]12CC[C@@]3([H])[C@@](C)(CC[C@@]4([H])C(C)(C)CCC[C@]34C)[C@]1(C)CC[C@@]1([H])[C@@H](C(C)(C)O)CC[C@]21C,current
RHEA:16965,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(=C)CCC=C(C)C,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(=C)CCC=C(C)C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:17637,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C>>C=CCc1ccc(O)c(OC)c1,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CCC=C(C)C>>C=CCc1ccc(O)c(OC)c1,current
RHEA:17653,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:17945,C=C(C)[C@@H]1CC=C(C)CC1>>Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,[H][C@@]1(C(=C)C)CC=C(C)CC1.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>CCCCCCCCCCCCCCN.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],current
RHEA:18081,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2CC(C)(C)CC23C(C)CCC13,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CC[C@@H](C)[C@@]13CC(C)(C)C[C@@]3([H])C=C2C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:18209,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)C2CCC1(C)C(OP(=O)([O-])OP(=O)([O-])[O-])C2,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@]1(OP(=O)([O-])OP(=O)([O-])[O-])CC2CCC1(C)C2(C)C,current
RHEA:18325,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CCC(C)C2CCC(C)=CC12,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CCC(C)=C[C@]1([H])[C@H](C(=C)C)CC[C@H]2C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:18721,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1C(C)(O)CCC2C(C)(C)CCCC21C>>C=CC1(C)CCC2C(C)(CCC3C(C)(C)CCCC32C)O1,[H][C@]12CC[C@](C)(O)[C@@H](CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@]1(C)CCCC2(C)C>>[H][C@@]12CC[C@](C)(C=C)O[C@@]1(C)CC[C@]1([H])C(C)(C)CCC[C@@]21C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:18957,C=C(C)[C@H]1CC=C(C)CC1>>Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C,[H][C@]1(C(=C)C)CC=C(C)CC1.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>C=C(C)[C@H]1CC=C(C)[C@H](O)C1.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],current
RHEA:19361,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:19525,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2C(=C(C)CCC2C(C)C)CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12C=C(C)CCC1=C(C)CC[C@H]2C(C)C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:19565,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C12CCC(C)(O)C1C2,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>CC(C)C12CCC(C)(O)C1C2.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:19825,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CC=C2CCCC(C)C2(C)C1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)[C@H]1CC=C2CCC[C@H](C)[C@@]2(C)C1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:20565,CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC12CCC(C1)C(C)(C)C2O,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>CC1(C)[C@@H]2CC[C@@](C)(C2)[C@@H]1O.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:20912,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCCC2(C)CCC3=C(C)CCC(CC12)C3(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@]12CCC(C)=C(CC[C@]3(C)CCC=C(C)[C@@]3([H])C1)C2(C)C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:21308,CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC1OC1(C)C>>CC(C)=CCCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CC[C@@H]1OC1(C)C>>[H][C@@]12CC[C@@]3([H])C(C)(C)[C@@H](O)CC[C@@]34C[C@@]14CC[C@@]1(C)[C@@]2(C)CC[C@]1([H])[C@H](C)CCC=C(C)C,current
RHEA:22220,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3,[H][C@]12CCC(=C)[C@@H](CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@]1(C)CCCC2(C)C>>[H][C@@]12CC[C@@H]3C[C@@]1(CC[C@]1([H])C(C)(C)CCC[C@@]21C)CC3=C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:22228,CC(C)=CCCC(C)=CCCC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)CCC=C(C)CCC=C(C)C>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CC/C=C(C)CCC=C(C)C.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CCC=C(C)C>>O=P([O-])([O-])OP(=O)([O-])O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,current
RHEA:22232,CC(C)=CCCC(C)=CCCC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)CCC=C(C)CCC=C(C)C>>NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)([O-])OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)([O-])[O-])C3O)C(O)C2O)c1,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CC/C=C(C)CCC=C(C)C.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CCC=C(C)C>>O=P([O-])([O-])OP(=O)([O-])O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1,current
RHEA:22408,CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],C=C(C)CCOP(=O)([O-])OP(=O)([O-])[O-].CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:22436,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCCC(C)C=CC(C(C)(C)O)CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>C/C1=CCC[C@H](C)/C=C/[C@H](C(C)(C)O)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:22672,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCCC(C)=CCCC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)CCC=C(C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CC/C=C(C)CCC=C(C)C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:23112,Cc1cccc(O)c1C(=O)[O-]>>O=C=O,Cc1cccc(O)c1C(=O)[O-].[H+].Cc1cccc(O)c1>>O=C=O,current
RHEA:24116,,CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>[Cl][Au-]([Cl])([Cl])[Cl].O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:24316,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CCC(=C)[C@H](CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CCCC2(C)C,current
RHEA:25282,CC(C)=CCCC(C)=CCCC(C)=CCC/C=C(\C)CC/C=C(\C)CCC=C(C)C>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC=C(C)CCC=C(C)CC[C@@H]1OC1(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CCC=C(C)C.Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1nc(=O)nc(=O)c1N2.O=O>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(C)CC/C=C(C)CC[C@@H]1OC1(C)C.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C.[H]O[H].[H+],current
RHEA:25436,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=CCC=C(C)C1CC=C(C)CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@]1(/C(C)=C/CC=C(C)C)CC=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:25440,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C2C=C(C(C)C)CCC2(C)CCC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C2C=C(C(C)C)CCC2(C)CCC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:25444,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCC(=C(C)C)CCC(C)=CCC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)=C1C/C=C(C)CC/C=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:25448,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CCC(C(C)C)=CC2C(C)CCC12,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CC[C@H](C)[C@]1([H])C=C(C(C)C)CC=C2C.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:25452,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1CC=C(C)CCC=C(C)CC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=C(C)C1C/C=C(C)CC/C=C(C)CC1.O=P([O-])([O-])OP(=O)([O-])O,current
RHEA:25456,CC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>C=C1C=CC(C)(C)CCCC(C)=CCC1,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H]C1=CC(=C)CCC=C(C)CCCC1(C)C.O=P([O-])([O-])OP(=O)([O-])O,current
