enzyme_id,uniprot_id,status,attempted_versions,downloaded_version,download_url,local_path,error
A0A0E3D8N4,A0A0E3D8N4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8N4.cif,
A0A0E3D8N6,A0A0E3D8N6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8N6.cif,
A0A0E3D8N7,A0A0E3D8N7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8N7.cif,
A0A0E3D8P0,A0A0E3D8P0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8P0.cif,
A0A0E3D8P4,A0A0E3D8P4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8P4.cif,
A0A0E3D8P5,A0A0E3D8P5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8P5.cif,
A0A0E3D8P8,A0A0E3D8P8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8P8.cif,
A0A0E3D8P9,A0A0E3D8P9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8P9.cif,
A0A0E3D8Q1,A0A0E3D8Q1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8Q1.cif,
A0A0E3D8Q2,A0A0E3D8Q2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0E3D8Q2.cif,
A0A0F7TN06,A0A0F7TN06,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TN06.cif,
A0A0F7TN11,A0A0F7TN11,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TN11.cif,
A0A0F7TN16,A0A0F7TN16,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TN16.cif,
A0A0F7TN60,A0A0F7TN60,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TN60.cif,
A0A0F7TN65,A0A0F7TN65,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TN65.cif,
A0A0F7TN69,A0A0F7TN69,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TN69.cif,
A0A0F7TQP2,A0A0F7TQP2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TQP2.cif,
A0A0F7TRU0,A0A0F7TRU0,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0F7TRU0.cif,
