split_id,direction,budget,query_id,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,query_nearest_train_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_score_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,ensemble_boundary_margin_z
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_799484fc466deb45,2,1,0.5,6,0.1666666666666666,0.98068368434906,1.0,0.0,0.0001869520056061,0.1826229650678023,0.6923076923076922,0.8666666666666667,0.1914612258305987
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_b6868ba527fea3e5,1,0,0.0,19,0.0526315789473684,0.9781700968742372,0.0,1.4142135381698608,0.0070397881790995,0.0,0.1333333333333333,0.4444444444444444,0.0099845004685394
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_b6868ba527fea3e5,1,1,1.0,7,0.1428571428571428,0.9781700968742372,1.0,0.0,0.0001494878524681,0.264146649804831,0.5811965811965812,0.8333333333333334,0.0451391110600085
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_c0ea8ec6c723ff57,2,0,0.0,34,0.0294117647058823,0.9938123226165771,0.6666666666666666,0.471404492855072,0.0051292139105498,5.346678100681357e-07,0.6666666666666666,0.8888888888888888,0.0719403558463827
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_c0ea8ec6c723ff57,2,0,0.0,130,0.0076923076923076,0.9938123226165771,1.0,0.0,0.0001337561843683,0.2016647634968067,0.5811965811965812,0.8333333333333334,0.1563607193241173
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_c28cf13e99e914b2,2,0,0.0,126,0.0079365079365079,0.994091272354126,0.3333333333333333,0.471404492855072,0.0061091440729796,0.0181510631835414,0.5,0.7777777777777778,0.0657981236201756
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_c28cf13e99e914b2,2,0,0.0,55,0.0181818181818181,0.994091272354126,1.0,0.0,4.36255031672772e-05,0.1955219675781732,0.4761904761904762,0.7666666666666667,0.0022425773859185
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_d8a3b3a770c6b63f,1,0,0.0,18,0.0555555555555555,0.978434681892395,0.6666666666666666,1.8856180906295776,0.0105813732370734,0.0742237680194681,0.0666666666666666,0.4444444444444444,0.0182298181527033
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_d8a3b3a770c6b63f,1,1,1.0,7,0.1428571428571428,0.978434681892395,0.3333333333333333,0.8164966106414795,0.0003890843945555,0.0857583326662025,0.5384615384615384,0.8333333333333334,0.0131861391385684
p0_r0,enzyme_to_reaction,3,MARTS_SEQ_dc4bda48ffcc486f,1,0,0.0,16,0.0625,0.9863182306289672,0.6666666666666666,1.8856180906295776,0.0066831121221184,0.0134233041432641,0.1333333333333333,0.4444444444444444,0.0966482527339877
p0_r0,enzyme_to_reaction,10,MARTS_SEQ_dc4bda48ffcc486f,1,1,1.0,5,0.2,0.9863182306289672,0.6666666666666666,0.471404492855072,0.0003360081464052,0.2149204106534818,0.5079365079365079,0.7666666666666667,0.0347595469759977
p0_r1,reaction_to_enzyme,3,MARTS_RXN_9bfd169ae97ddf61,1,0,0.0,136,0.0073529411764705,0.8999999761581421,0.6666666666666666,0.9428090453147888,0.0301806926727294,0.0123481321040891,1.0,1.0,1.8723151422349005
p0_r1,reaction_to_enzyme,10,MARTS_RXN_9bfd169ae97ddf61,1,0,0.0,136,0.0073529411764705,0.8999999761581421,0.6666666666666666,0.9428090453147888,0.0301806926727294,0.0123481321040891,0.6239316239316239,0.8666666666666667,0.0364053193784605
p0_r1,reaction_to_enzyme,20,MARTS_RXN_9bfd169ae97ddf61,1,0,0.0,139,0.0071942446043165,0.8999999761581421,1.0,0.0,0.0356996431946754,0.0228013138045426,0.3980417198808003,0.7,0.0145574910900322
p0_r1,reaction_to_enzyme,3,MARTS_RXN_a3395ba9b8c61185,1,0,0.0,27,0.037037037037037,0.8999999761581421,1.0,0.0,0.0344924256205558,0.2489900339334457,0.2,0.5555555555555556,0.0155904043654086
p0_r1,reaction_to_enzyme,10,MARTS_RXN_a3395ba9b8c61185,1,0,0.0,27,0.037037037037037,0.8999999761581421,1.0,0.0,0.0344924256205558,0.2489900339334457,0.6744366744366744,0.9,0.0546088486904143
p0_r1,reaction_to_enzyme,20,MARTS_RXN_a3395ba9b8c61185,1,0,0.0,27,0.037037037037037,0.8999999761581421,1.0,0.0,0.0313084423542022,0.2303494968045339,0.8206913859087773,0.9333333333333332,0.005457704087184
p0_r1,reaction_to_enzyme,3,MARTS_RXN_a78f2392f8c21c04,1,0,0.0,370,0.0027027027027027,0.7263157963752747,0.0,0.471404492855072,0.0323203541338443,0.0080088120274783,0.3333333333333333,0.6666666666666666,0.0691761690241998
p0_r1,reaction_to_enzyme,10,MARTS_RXN_a78f2392f8c21c04,1,0,0.0,370,0.0027027027027027,0.7263157963752747,0.0,0.471404492855072,0.0323203541338443,0.0080088120274783,0.4017094017094016,0.7333333333333333,0.0248446670156629
p0_r1,reaction_to_enzyme,20,MARTS_RXN_a78f2392f8c21c04,1,0,0.0,506,0.0019762845849802,0.7263157963752747,0.6666666666666666,2.357022762298584,0.028348758816719,0.0026171404947795,0.3702639421030225,0.7166666666666667,0.0137919917756311
p0_r1,reaction_to_enzyme,3,MARTS_RXN_b89583d7f0d90b88,1,0,0.0,32,0.03125,0.4860869646072387,0.3333333333333333,0.8164966106414795,0.0400880202651023,0.0631003651196328,0.3999999999999999,0.7777777777777778,0.1147616490235804
p0_r1,reaction_to_enzyme,10,MARTS_RXN_b89583d7f0d90b88,1,0,0.0,32,0.03125,0.4860869646072387,0.3333333333333333,0.8164966106414795,0.0400880202651023,0.0631003651196328,0.3968253968253968,0.7,0.00110632998574
p0_r1,reaction_to_enzyme,20,MARTS_RXN_b89583d7f0d90b88,1,0,0.0,32,0.03125,0.4860869646072387,0.3333333333333333,0.942808985710144,0.0396089404821395,0.0354950739027097,0.6908212560386473,0.9,0.0671063029626655
p0_r1,reaction_to_enzyme,3,MARTS_RXN_c9b279de04421c5d,1,0,0.0,139,0.0071942446043165,0.800000011920929,0.0,1.4142135381698608,0.0479182042181491,0.0052493661664568,0.1666666666666666,0.5555555555555556,0.2099848780112484
p0_r1,reaction_to_enzyme,10,MARTS_RXN_c9b279de04421c5d,1,0,0.0,139,0.0071942446043165,0.800000011920929,0.0,1.4142135381698608,0.0479182042181491,0.0052493661664568,0.1791938997821351,0.4333333333333333,0.0200304881279747
p0_r1,reaction_to_enzyme,20,MARTS_RXN_c9b279de04421c5d,1,0,0.0,132,0.0075757575757575,0.800000011920929,0.6666666666666666,5.656854152679443,0.1151429787278175,0.3015593099997388,0.1334696040578393,0.4333333333333333,0.0125260397874744
p0_r1,reaction_to_enzyme,3,MARTS_RXN_faf8834b256f41eb,1,0,0.0,207,0.0048309178743961,0.7809523940086365,0.3333333333333333,2.1602468490600586,0.0176196042448282,0.1818319028748781,0.1333333333333333,0.5555555555555556,0.101182742505389
p0_r1,reaction_to_enzyme,10,MARTS_RXN_faf8834b256f41eb,1,0,0.0,207,0.0048309178743961,0.7809523940086365,0.3333333333333333,2.1602468490600586,0.0176196042448282,0.1818319028748781,0.2777777777777777,0.6333333333333333,0.0945493918086376
p0_r1,reaction_to_enzyme,20,MARTS_RXN_faf8834b256f41eb,1,0,0.0,286,0.0034965034965034,0.7809523940086365,0.3333333333333333,2.624669313430786,0.0500281006097793,0.1012780436560581,0.1784511784511784,0.5333333333333333,0.0131870702561663
