protein_id,layer
A0A0C9UCV1,base
A0A0C9UUK6,base
A0A0C9UV01,base
A0A0C9VAH4,base
A0A0C9VD04,base
A0A0C9W4U2,base
A0A0C9WNP1,base
A0A0C9XHU2,base
A0A0C9YJ48,base
A0A0D0AAZ5,base
A0A0D0BLM1,base
A0A0D0BTR9,base
A0A0D0CKM9,base
A0A0D0CM27,base
A0A0D0CNG6,base
A0A0D0PXE2,base
A0A0D0Q328,base
A0A0D0UTN7,base
A0A0D0WPE8,base
A0A0D0X088,base
A0A0D1DWQ2,base
A0A0D1E6L2,base
A0A0D2A3M7,base
A0A0D2KML3,base
A0A0D2L718,base
A0A0D2NJJ1,base
A0A0D2PJ06,base
A0A0D2QR17,base
A0A0D2R283,base
A0A0D2RPS2,base
A0A0D2SEI1,base
A0A0D2SN38,base
A0A0D2U1X4,base
A0A0D2V1H6,base
A0A0D2Y5A7,base
A0A0D2YG05,base
A0A0D2YG09,base
A0A0D2ZRH5,base
A0A0D2ZV96,base
A0A0D3ALX6,base
A0A0D3AU44,base
A0A0D3BBB1,base
A0A0D3BEF6,base
A0A0D3BKI9,base
A0A0D3BT26,base
A0A0D3BU59,base
A0A0D3BV79,base
A0A0D3BV82,base
A0A0D3C1E0,base
A0A0D3D910,base
A0A0D3DD83,base
A0A0D3DMA5,base
A0A0D3EB26,base
A0A0D3F4V4,base
A0A0D3FK27,base
A0A0D3FRW0,base
A0A0D3FUD1,base
A0A0D3FUD6,base
A0A0D3FUD9,base
A0A0D3GWQ5,base
A0A0D3MJQ5,base
A0A0D3QS97,base
A0A0D3QS98,base
A0A0D3QS99,base
A0A0D4BS77,base
A0A0D4BSN8,base
A0A0D4BSP3,base
A0A0D4D912,base
A0A0D4WTV1,base
A0A0D4WV12,base
A0A0D5NL07,base
A0A0D5ZDC8,base
A0A0D7AM14,base
A0A0D7AT78,base
A0A0D7B4I8,base
A0A0D7BE20,base
A0A0D7BG15,base
A0A0D7CIP9,base
A0A0D7CLA1,base
A0A0D7CMA3,base
A0A0D7CNN9,base
A0A0D7CU33,base
A0A0D8BHX4,base
A0A0D8BWP6,base
A0A0D8JFX0,base
A0A0D9MRV9,base
A0A0D9NRW8,base
A0A0D9VBI3,base
A0A0D9WQV3,base
A0A0D9X6A2,base
A0A0D9XKX7,base
A0A0D9XXR5,base
A0A0D9XZE4,base
A0A0D9YRW3,base
A0A0D9YTY3,base
A0A0D9Z6S9,base
A0A0D9Z7A9,base
A0A0D9Z965,base
A0A0D9ZJ43,base
A0A0D9ZJ44,base
A0A0D9ZWD3,base
A0A0E0BG89,base
A0A0E0BHT4,base
A0A0E0CK58,base
A0A0E0CK60,base
A0A0E0CK62,base
A0A0E0D0G3,base
A0A0E0D2D8,base
A0A0E0D2D9,base
A0A0E0GMD5,base
A0A0E0GX38,base
A0A0E0GZA8,base
A0A0E0HCB4,base
A0A0E0HCB6,base
A0A0E0HFB1,base
A0A0E0J0T8,base
A0A0E0JL29,base
A0A0E0KDZ5,base
A0A0E0KDZ7,base
A0A0E0KDZ8,base
A0A0E0KP63,base
A0A0E0LE33,base
A0A0E0LRP1,base
A0A0E0MEQ6,base
A0A0E0MEQ7,base
A0A0E0NGP8,base
A0A0E0QPM8,base
A0A0E0R8B7,base
A0A0E0R8B8,base
A0A0E0SMA3,base
A0A0E0SNE8,base
A0A0E1RV52,base
A0A0E3D8K9,base
A0A0E3D8L0,base
A0A0E3D8L2,base
A0A0E3D8L3,base
A0A0E3D8L5,base
A0A0E3D8L6,base
A0A0E3D8L9,base
A0A0E3D8M1,base
A0A0E3D8M2,base
A0A0E3D8M3,base
A0A0E3D8M4,base
A0A0E3D8M5,base
A0A0E3D8M6,base
A0A0E3D8M9,base
A0A0E3D8N0,base
A0A0E3D8N1,base
A0A0E3D8N3,base
A0A0E3D8N4,base
A0A0E3D8N6,base
A0A0E3D8N7,base
A0A0E3D8P0,base
A0A0E3D8P4,base
A0A0E3D8P5,base
A0A0E3D8P8,base
A0A0E3D8P9,base
A0A0E3D8Q1,base
A0A0E3D8Q2,base
A0A0E3JT70,base
A0A0E3KBH3,base
A0A0E3KJK7,base
A0A0E3NEE1,base
A0A0E3NFS5,base
A0A0E3QV30,base
A0A0E3T3B5,base
A0A0E3T552,base
A0A0E4AE72,base
A0A0E4AE82,base
A0A0E4AET8,base
A0A0E4AFG7,base
A0A0E4AFH6,base
A0A0E4AYE7,base
A0A0E4FKF7,base
A0A0E9N6J2,base
