row,reaction_id
235,MARTS_EXT_RXN_fa0e122a530f
236,MARTS_EXT_RXN_faf8834b256f
237,MARTS_EXT_RXN_fb686c0d23a3
238,MARTS_EXT_RXN_fc09735a9f8b
239,MARTS_EXT_RXN_fd49ae10b01d
240,RHEA:10008
241,RHEA:10012
242,RHEA:10016
243,RHEA:10020
244,RHEA:10024
245,RHEA:10036
246,RHEA:10040
247,RHEA:10044
248,RHEA:10048
249,RHEA:10056
250,RHEA:10064
251,RHEA:10072
252,RHEA:10076
253,RHEA:10080
254,RHEA:10084
255,RHEA:10092
256,RHEA:10096
257,RHEA:10100
258,RHEA:10104
259,RHEA:10108
260,RHEA:10112
261,RHEA:10116
262,RHEA:10120
263,RHEA:10124
264,RHEA:10128
265,RHEA:10132
266,RHEA:10136
267,RHEA:10140
268,RHEA:10144
269,RHEA:10148
270,RHEA:10152
271,RHEA:10160
272,RHEA:10164
273,RHEA:10168
274,RHEA:10172
275,RHEA:10176
276,RHEA:10180
277,RHEA:10184
278,RHEA:10188
279,RHEA:10192
280,RHEA:10196
281,RHEA:10200
282,RHEA:10204
283,RHEA:10208
284,RHEA:10212
285,RHEA:10216
286,RHEA:10220
287,RHEA:10224
288,RHEA:10228
289,RHEA:10240
290,RHEA:10244
291,RHEA:10248
292,RHEA:10252
293,RHEA:10260
294,RHEA:10264
295,RHEA:10268
296,RHEA:10272
297,RHEA:10276
298,RHEA:10280
299,RHEA:10288
300,RHEA:10292
301,RHEA:10296
302,RHEA:10300
303,RHEA:10304
304,RHEA:10312
305,RHEA:10316
306,RHEA:10320
307,RHEA:10332
308,RHEA:10336
309,RHEA:10340
310,RHEA:10344
311,RHEA:10348
312,RHEA:10352
313,RHEA:10360
314,RHEA:10368
315,RHEA:10372
316,RHEA:10376
317,RHEA:10380
318,RHEA:10384
319,RHEA:10388
320,RHEA:10392
321,RHEA:10408
322,RHEA:10412
323,RHEA:10416
324,RHEA:10420
325,RHEA:10424
326,RHEA:10428
327,RHEA:10432
328,RHEA:10436
329,RHEA:10440
330,RHEA:10444
331,RHEA:10448
332,RHEA:10452
333,RHEA:10456
334,RHEA:10468
335,RHEA:10472
336,RHEA:10488
337,RHEA:10492
338,RHEA:10508
339,RHEA:10520
340,RHEA:10524
341,RHEA:10532
342,RHEA:10540
343,RHEA:10552
344,RHEA:10556
345,RHEA:10572
346,RHEA:10584
347,RHEA:10588
348,RHEA:10596
349,RHEA:10600
350,RHEA:10604
351,RHEA:10608
352,RHEA:10612
353,RHEA:10616
354,RHEA:10620
355,RHEA:10644
356,RHEA:10652
357,RHEA:10656
358,RHEA:10664
359,RHEA:10668
360,RHEA:10680
361,RHEA:10684
362,RHEA:10688
363,RHEA:10692
364,RHEA:10696
365,RHEA:10700
366,RHEA:10704
367,RHEA:10712
368,RHEA:10716
369,RHEA:10720
370,RHEA:10724
371,RHEA:10728
372,RHEA:10732
373,RHEA:10736
374,RHEA:10740
375,RHEA:10744
376,RHEA:10748
377,RHEA:10756
378,RHEA:10760
379,RHEA:10764
380,RHEA:10768
381,RHEA:10772
382,RHEA:10776
383,RHEA:10780
384,RHEA:10792
385,RHEA:10796
386,RHEA:10800
387,RHEA:10808
388,RHEA:10812
389,RHEA:10824
390,RHEA:10828
391,RHEA:10832
392,RHEA:10836
393,RHEA:10840
394,RHEA:10848
395,RHEA:10868
396,RHEA:10872
397,RHEA:10876
398,RHEA:10904
399,RHEA:10908
400,RHEA:10912
401,RHEA:10932
402,RHEA:10936
403,RHEA:10940
404,RHEA:10944
405,RHEA:10948
406,RHEA:10960
407,RHEA:10964
408,RHEA:10980
409,RHEA:10992
410,RHEA:11000
411,RHEA:11004
412,RHEA:11008
413,RHEA:11016
414,RHEA:11020
415,RHEA:11028
416,RHEA:11032
417,RHEA:11036
418,RHEA:11040
419,RHEA:11044
420,RHEA:11048
421,RHEA:11060
422,RHEA:11064
423,RHEA:11068
424,RHEA:11072
425,RHEA:11076
426,RHEA:11080
427,RHEA:11092
428,RHEA:11096
429,RHEA:11112
430,RHEA:11120
431,RHEA:11128
432,RHEA:11132
433,RHEA:11136
434,RHEA:11140
435,RHEA:11148
436,RHEA:11160
437,RHEA:11164
438,RHEA:11172
439,RHEA:11176
440,RHEA:11180
441,RHEA:11184
442,RHEA:11188
443,RHEA:11192
444,RHEA:11196
445,RHEA:11204
446,RHEA:11216
447,RHEA:11224
448,RHEA:11228
449,RHEA:11236
450,RHEA:11256
451,RHEA:11260
452,RHEA:11264
453,RHEA:11268
454,RHEA:11276
455,RHEA:11280
456,RHEA:11296
457,RHEA:11304
458,RHEA:11308
459,RHEA:11312
460,RHEA:11316
461,RHEA:11320
462,RHEA:11328
463,RHEA:11336
464,RHEA:11340
465,RHEA:11344
466,RHEA:11348
467,RHEA:11352
468,RHEA:11356
469,RHEA:11364
470,RHEA:11372
471,RHEA:11376
472,RHEA:11380
473,RHEA:11388
474,RHEA:11392
475,RHEA:11400
476,RHEA:11404
477,RHEA:11412
478,RHEA:11420
479,RHEA:11424
480,RHEA:11428
481,RHEA:11436
482,RHEA:11440
483,RHEA:11456
484,RHEA:11460
485,RHEA:11480
486,RHEA:11484
487,RHEA:11488
488,RHEA:11492
489,RHEA:11500
490,RHEA:11504
491,RHEA:11508
492,RHEA:11516
493,RHEA:11524
494,RHEA:11528
495,RHEA:11532
496,RHEA:11536
497,RHEA:11540
498,RHEA:11544
499,RHEA:11552
500,RHEA:11560
501,RHEA:11564
502,RHEA:11576
503,RHEA:11580
504,RHEA:11584
505,RHEA:11588
506,RHEA:11592
507,RHEA:11596
508,RHEA:11600
509,RHEA:11612
510,RHEA:11628
511,RHEA:11632
512,RHEA:11636
513,RHEA:11640
514,RHEA:11644
515,RHEA:11652
516,RHEA:11656
517,RHEA:11660
518,RHEA:11672
519,RHEA:11680
520,RHEA:11684
521,RHEA:11688
522,RHEA:11692
523,RHEA:11708
524,RHEA:11712
525,RHEA:11716
526,RHEA:11724
527,RHEA:11728
528,RHEA:11740
529,RHEA:11744
530,RHEA:11748
531,RHEA:11756
532,RHEA:11768
533,RHEA:11776
534,RHEA:11780
535,RHEA:11784
536,RHEA:11788
537,RHEA:11792
538,RHEA:11796
539,RHEA:11800
540,RHEA:11808
541,RHEA:11812
542,RHEA:11816
543,RHEA:11820
544,RHEA:11824
545,RHEA:11828
546,RHEA:11832
547,RHEA:11840
548,RHEA:11844
549,RHEA:11848
550,RHEA:11852
551,RHEA:11856
552,RHEA:11864
553,RHEA:11868
554,RHEA:11872
555,RHEA:11876
556,RHEA:11880
557,RHEA:11888
558,RHEA:11896
559,RHEA:11900
560,RHEA:11908
561,RHEA:11912
562,RHEA:11916
563,RHEA:11920
564,RHEA:11924
565,RHEA:11936
566,RHEA:11940
567,RHEA:11944
568,RHEA:11948
569,RHEA:11952
570,RHEA:11956
571,RHEA:11960
572,RHEA:11964
573,RHEA:11972
574,RHEA:11976
575,RHEA:11988
576,RHEA:11992
577,RHEA:12008
578,RHEA:12012
579,RHEA:12016
580,RHEA:12020
581,RHEA:12024
582,RHEA:12032
583,RHEA:12044
584,RHEA:12048
585,RHEA:12052
586,RHEA:12056
587,RHEA:12060
588,RHEA:12068
589,RHEA:12076
590,RHEA:12080
591,RHEA:12084
592,RHEA:12088
593,RHEA:12096
594,RHEA:12100
595,RHEA:12104
596,RHEA:12112
597,RHEA:12116
598,RHEA:12120
599,RHEA:12124
600,RHEA:12128
601,RHEA:12132
602,RHEA:12136
603,RHEA:12140
604,RHEA:12144
605,RHEA:12152
606,RHEA:12156
607,RHEA:12164
608,RHEA:12168
609,RHEA:12172
610,RHEA:12176
611,RHEA:12180
612,RHEA:12184
613,RHEA:12188
614,RHEA:12192
615,RHEA:12196
616,RHEA:12200
617,RHEA:12208
618,RHEA:12212
619,RHEA:12216
620,RHEA:12220
621,RHEA:12228
622,RHEA:12232
623,RHEA:12236
624,RHEA:12240
625,RHEA:12248
626,RHEA:12252
627,RHEA:12256
628,RHEA:12260
629,RHEA:12268
