reaction_id,reaction_signature,reaction_smiles,reaction_seen,cluster_id
MARTS_RXN_7b0cfb7bb82c4ca3,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2=C(CCC3C(C)(C)CCCC23C)C1,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2=C(CC[C@H]3C(C)(C)CCC[C@]23C)C1,False,C20_GGPP_like::MARTS_RXN_29bbf964d264af82
MARTS_RXN_3abc72608e40ec3b,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CCC2C(=C1)CCC1C(C)(C)CCCC21C,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC(C)C1=CC[C@H]2C(=C1)CC[C@H]1C(C)(C)CCC[C@]21C,False,C20_GGPP_like::MARTS_RXN_0216267ce7f463bf
MARTS_RXN_6f6c259f1e28cb80,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCCC2(C)C1CCC13CC(CCC12)C(C)(O)C3,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCC[C@@]2(C)[C@H]1CC[C@]13CC(CC[C@@H]12)[C@](C)(O)C3,True,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db
MARTS_RXN_dbc26311dec1c4a3,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCCC2(C)C1CCC1CC3CC12CCC3(C)O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)CCC[C@@]2(C)[C@H]1CC[C@H]1C[C@@H]3C[C@@]12CC[C@@]3(C)O,False,C20_GGPP_like::MARTS_RXN_9710b471174e59ab
MARTS_RXN_9f7a5b7e54860109,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC23CCC4C(C)(C)CCCC4(C)C2CCC1C3,C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C[C@@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@@H]1C3,True,C20_GGPP_like::MARTS_RXN_0e08d025745c0527
MARTS_RXN_adce19f1dd817e77,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1=CC2CCC3C(C)(C)CCCC3(C)C23CCC1C3,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>CC1=C[C@@H]2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@@]23CC[C@@H]1C3,True,C20_GGPP_like::MARTS_RXN_adce19f1dd817e77
MARTS_RXN_78399ec4fc85c2fe,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-]>>CC1CC2=CCC3C(C)(C)CCCC3(C)C2CCC1(C)O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C[C@@H]1CC2=CC[C@H]3C(C)(C)CCC[C@]3(C)[C@@H]2CC[C@@]1(C)O,False,C20_GGPP_like::MARTS_RXN_78399ec4fc85c2fe
MARTS_RXN_99de587742ff006a,CC(=CCCC=C(C)CCC=C(C)CCC1OC1(C)C)CCC=C(C)CCC1OC1(C)C>>C=C1CCC2C(C)(C)C(O)CCC2(C)C1CCC=C(C)CCC=C(C)CCC1OC1(C)C,C/C(=C\CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C)CC/C=C(\C)CC[C@@H]1OC1(C)C>>C=C1CC[C@H]2C(C)(C)[C@@H](O)CC[C@]2(C)[C@H]1CC/C=C(\C)CC/C=C(\C)CC[C@@H]1OC1(C)C,True,C30_long_prenyl_like::MARTS_RXN_4c4ba4bc054979a2
MARTS_RXN_c4cfcdfee60d6644,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(C)C(C)=C(C)C(C)C1C>>C=C1C(C)C2(C)C(C)=C(C)C(C)(C1C)C2C,CC1=C(C)[C@@](C)(CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@H](C)[C@H]1C>>C=C1[C@@H](C)[C@]2(C)C(C)=C(C)[C@@](C)([C@H]2C)[C@H]1C,False,C15_FPP_like::MARTS_RXN_c4cfcdfee60d6644
MARTS_RXN_8fcc21e7d25a0888,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(C)C(C)CCC2(C)C(C)=CCCC21>>C=CC(=C)CCC1(C)C(C)CCC2(C)C(C)=CCCC21,CC1=CCC[C@H]2[C@](C)(CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@H](C)CC[C@]12C>>C=CC(=C)CC[C@]1(C)[C@H](C)CC[C@]2(C)C(C)=CCC[C@@H]12,True,C20_GGPP_like::MARTS_RXN_5e756bc9af8160fa
MARTS_RXN_5e756bc9af8160fa,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(C)C(C)CCC2(C)C(C)=CCCC21>>C=CC(C)(O)CCC1(C)C(C)CCC2(C)C(C)=CCCC21,CC1=CCC[C@H]2[C@](C)(CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-])[C@H](C)CC[C@@]12C>>C=CC(C)(O)CC[C@]1(C)[C@H](C)CC[C@@]2(C)C(C)=CCC[C@@H]12,False,C20_GGPP_like::MARTS_RXN_5e756bc9af8160fa
MARTS_RXN_57376f32fc6f0917,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(O)C(C)CCC2C(C)(C)CCCC21C>>C=CC(=C)CCC1(O)C(C)CCC2C(C)(C)CCCC21C,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@]1(O)[C@H](C)CC[C@H]2C(C)(C)CCC[C@@]21C>>C=CC(=C)CC[C@@]1(O)[C@H](C)CC[C@H]2C(C)(C)CCC[C@@]21C,True,C20_GGPP_like::MARTS_RXN_57376f32fc6f0917
MARTS_RXN_780334b3fd258727,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(O)C(C)CCC2C(C)(C)CCCC21C>>C=CC(C)(O)CCC1(O)C(C)CCC2C(C)(C)CCCC21C,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@]1(O)[C@H](C)CC[C@H]2C(C)(C)CCC[C@@]21C>>C=CC(C)(O)CC[C@@]1(O)[C@H](C)CC[C@H]2C(C)(C)CCC[C@@]21C,True,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_69100385edd07ec4,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1(O)C(C)CCC2C(C)(C)CCCC21C>>C=CC1(C)CCC2(O1)C(C)CCC1C(C)(C)CCCC12C,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@]1(O)[C@H](C)CC[C@H]2C(C)(C)CCC[C@@]21C>>C=C[C@@]1(C)CC[C@@]2(O1)[C@H](C)CC[C@H]1C(C)(C)CCC[C@@]12C,True,C20_GGPP_like::MARTS_RXN_69100385edd07ec4
MARTS_RXN_3656de9bcbb16208,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1C(C)(O)CCC2C(C)(C)CCCC21C>>C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O>>C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,True,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_4ce3a310c2be76cb,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1C(C)(O)CCC2C(C)(C)CCCC21C>>C=CC(C)=CCC1C(C)(O)CCC2C(C)(C)CCCC21C,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O>>C=C/C(C)=C\C[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O,True,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_ca54c73f0f6a6fc0,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1C(C)(O)CCC2C(C)(C)CCCC21C>>C=CC1(C)CCC2C(C)(CCC3C(C)(C)CCCC32C)O1,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O>>C=C[C@@]1(C)CC[C@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC[C@@]2(C)O1,True,C20_GGPP_like::MARTS_RXN_ca54c73f0f6a6fc0
MARTS_RXN_1ec0e0c1ca7b6259,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCC1C(C)=CCC2C(C)(C)CCCC12C>>C=CC(=C)CCC1C(C)=CCC2C(C)(C)CCCC12C,CC1=CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>C=CC(=C)CC[C@H]1C(C)=CC[C@H]2C(C)(C)CCC[C@]12C,True,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_b89583d7f0d90b88,CC(=CCOP(=O)([O-])OP(=O)([O-])[O-])CCCC(C)CCCC(C)CCCC(C)C>>CC(=CCCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)CCCC(C)CCCC(C)CCCC(C)C,C/C(=C\COP(=O)([O-])OP(=O)([O-])[O-])CCC[C@H](C)CCC[C@H](C)CCCC(C)C>>C/C(=C\CC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,False,C20_GGPP_like::MARTS_RXN_b89583d7f0d90b88
MARTS_RXN_8900066556908bc8,CC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)C>>CC(C)=CC1C(CO)C1(C)C,CC(C)=C[C@@H]1[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])C1(C)C>>CC(C)=C[C@@H]1[C@@H](CO)C1(C)C,False,C10_GPP_like::MARTS_RXN_8900066556908bc8
MARTS_RXN_10ad51343f41913b,CC(C)=CCCC(C)=C(C)COP(=O)([O-])OP(=O)([O-])[O-]>>CC1(O)CC2CCC1(C)C2(C)C,CC(C)=CCC/C(C)=C(\C)COP(=O)([O-])OP(=O)([O-])[O-]>>CC1(C)[C@@H]2CC[C@@]1(C)[C@](C)(O)C2,True,C10_GPP_like::MARTS_RXN_10ad51343f41913b
MARTS_RXN_55f4259a8324fd93,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C>>CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C>>CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,False,C40_long_prenyl_like::MARTS_RXN_55f4259a8324fd93
MARTS_RXN_e7770b1f70c76223,CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)CCC=C(C)C>>CC(C)=CCCC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C>>CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,False,C40_long_prenyl_like::MARTS_RXN_55f4259a8324fd93
MARTS_RXN_df06835b65dd8073,CC(C)=CCCC(C)=CCCC(C)=CC1C(COP(=O)([O-])OP(=O)([O-])[O-])C1(C)CCC=C(C)CCC=C(C)C>>C=CC(C)(C=CC(C)CCC=C(C)CCC=C(C)C)CCC=C(C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@]1(C)CC/C=C(\C)CCC=C(C)C>>C=C[C@@](C)(/C=C/[C@H](C)CC/C=C(\C)CCC=C(C)C)CC/C=C(\C)CCC=C(C)C,False,C30_long_prenyl_like::MARTS_RXN_df06835b65dd8073
