reaction_id,cluster_id
MARTS_RXN_8551b0818261b1a3,C25_GFPP_like::MARTS_RXN_055064ae05a5ffc0
MARTS_RXN_90bccccecf9cfb07,C25_GFPP_like::MARTS_RXN_90bccccecf9cfb07
MARTS_RXN_6cb73ebd30231f0f,C25_GFPP_like::MARTS_RXN_6cb73ebd30231f0f
MARTS_RXN_4ceba15356bf3b90,C25_GFPP_like::MARTS_RXN_4ceba15356bf3b90
MARTS_RXN_fa0e122a530ffc89,C25_GFPP_like::MARTS_RXN_76627c4c8e958b6b
MARTS_RXN_76627c4c8e958b6b,C25_GFPP_like::MARTS_RXN_76627c4c8e958b6b
MARTS_RXN_54f511ec76329856,C25_GFPP_like::MARTS_RXN_54f511ec76329856
MARTS_RXN_27964350d2e04d49,C25_GFPP_like::MARTS_RXN_0e80c1eb7cd88556
MARTS_RXN_a1bdb236418d6df7,C25_GFPP_like::MARTS_RXN_a1bdb236418d6df7
MARTS_RXN_055064ae05a5ffc0,C25_GFPP_like::MARTS_RXN_055064ae05a5ffc0
MARTS_RXN_f12698751b7a845b,C25_GFPP_like::MARTS_RXN_247c337c8f6561fa
MARTS_RXN_aaa305f17a3010cd,C25_GFPP_like::MARTS_RXN_3bed24cf1ac1aa2f
MARTS_RXN_6cb70f33ff8f2598,C25_GFPP_like::MARTS_RXN_6cb70f33ff8f2598
MARTS_RXN_847847d0fdd7c666,C25_GFPP_like::MARTS_RXN_847847d0fdd7c666
MARTS_RXN_95048e61f00d66c0,C25_GFPP_like::MARTS_RXN_95048e61f00d66c0
MARTS_RXN_d91651d1ef35b667,C25_GFPP_like::MARTS_RXN_d91651d1ef35b667
MARTS_RXN_8b23f9ebbcd45812,C25_GFPP_like::MARTS_RXN_3bed24cf1ac1aa2f
MARTS_RXN_71aa03bcb508917c,C25_GFPP_like::MARTS_RXN_71aa03bcb508917c
MARTS_RXN_5834b8bc5c28c360,C25_GFPP_like::MARTS_RXN_5834b8bc5c28c360
MARTS_RXN_ecb0de88d8e06b4c,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_86983edabe8ca28b,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_033964ff02d82d4e,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_eec1da2d17062901,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_90222bd6d2549cad,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_4016ec72d95af8ca,C25_GFPP_like::MARTS_RXN_3bed24cf1ac1aa2f
MARTS_RXN_c82f9ce748cd25cd,C25_GFPP_like::MARTS_RXN_033964ff02d82d4e
MARTS_RXN_16e609c93e52c631,C25_GFPP_like::MARTS_RXN_0e80c1eb7cd88556
MARTS_RXN_b72409fe507d2e20,C25_GFPP_like::MARTS_RXN_2d4d4df1341bbfa9
MARTS_RXN_2d4d4df1341bbfa9,C25_GFPP_like::MARTS_RXN_2d4d4df1341bbfa9
MARTS_RXN_66d9eb264140e204,C25_GFPP_like::MARTS_RXN_66d9eb264140e204
MARTS_RXN_adaa04b0745b6675,C25_GFPP_like::MARTS_RXN_adaa04b0745b6675
MARTS_RXN_e778d2d951ff1345,C20_GGPP_like::MARTS_RXN_e778d2d951ff1345
MARTS_RXN_380c83705f05e5c5,C20_GGPP_like::MARTS_RXN_0d6dcf3090a1cf2e
MARTS_RXN_baa96a7e0621b577,C20_GGPP_like::MARTS_RXN_56f1be1c880d5e55
MARTS_RXN_df3107f9c1032e3d,C20_GGPP_like::MARTS_RXN_df3107f9c1032e3d
MARTS_RXN_c29f1cca3044ee37,C20_GGPP_like::MARTS_RXN_c29f1cca3044ee37
MARTS_RXN_4f0796dda836bdc5,C20_GGPP_like::MARTS_RXN_4f0796dda836bdc5
MARTS_RXN_efd2739d909f2991,C20_GGPP_like::MARTS_RXN_4fba5e08211844e3
MARTS_RXN_769df5ece0f33f46,C20_GGPP_like::MARTS_RXN_4fba5e08211844e3
MARTS_RXN_66951c0e7ed9196f,C20_GGPP_like::MARTS_RXN_4fba5e08211844e3
MARTS_RXN_70b365bf61f0e7ea,C20_GGPP_like::MARTS_RXN_4fba5e08211844e3
MARTS_RXN_4959109219e54711,C20_GGPP_like::MARTS_RXN_4959109219e54711
MARTS_RXN_318de1e2f8806642,C20_GGPP_like::MARTS_RXN_318de1e2f8806642
MARTS_RXN_fd49ae10b01dfae9,C20_GGPP_like::MARTS_RXN_4959109219e54711
MARTS_RXN_cda281fba2bde3f9,C20_GGPP_like::MARTS_RXN_193d44981939312b
MARTS_RXN_193d44981939312b,C20_GGPP_like::MARTS_RXN_193d44981939312b
MARTS_RXN_bf12f5d59166518d,C20_GGPP_like::MARTS_RXN_1d852b407f95b2b1
MARTS_RXN_a3e15b2ae79d1153,C20_GGPP_like::MARTS_RXN_a330ce4c40995688
MARTS_RXN_d1d507ef878dbc29,C20_GGPP_like::MARTS_RXN_d1d507ef878dbc29
MARTS_RXN_accbb7c49b4731b0,C20_GGPP_like::MARTS_RXN_561d9f61c555bf15
MARTS_RXN_324ed07f2f6e2223,C20_GGPP_like::MARTS_RXN_2f18d5d70489a2db
MARTS_RXN_2d848cafa6c3ce23,C20_GGPP_like::MARTS_RXN_2d848cafa6c3ce23
MARTS_RXN_029b92fe95def7ba,C20_GGPP_like::MARTS_RXN_029b92fe95def7ba
MARTS_RXN_0429f79d54e93205,C20_GGPP_like::MARTS_RXN_0429f79d54e93205
MARTS_RXN_bbce0c9a00867f6f,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
MARTS_RXN_0fa82c3b7c55ea30,C20_GGPP_like::MARTS_RXN_0fa82c3b7c55ea30
MARTS_RXN_9864ce62f34c27cb,C20_GGPP_like::MARTS_RXN_9864ce62f34c27cb
MARTS_RXN_c7f62ba677aef5ac,C20_GGPP_like::MARTS_RXN_6b2dcf26c8922a57
MARTS_RXN_be324f8633fc718b,C20_GGPP_like::MARTS_RXN_0feaca316b3fb310
MARTS_RXN_a78f2392f8c21c04,C20_GGPP_like::MARTS_RXN_6b2dcf26c8922a57
MARTS_RXN_86ce128d7d61cd1d,C20_GGPP_like::MARTS_RXN_0b0f5e083f773cac
MARTS_RXN_4d9779092922e63a,C20_GGPP_like::MARTS_RXN_4d9779092922e63a
MARTS_RXN_8d7f7dd54117072a,C20_GGPP_like::MARTS_RXN_8d7f7dd54117072a
MARTS_RXN_3e20a5676626288a,C20_GGPP_like::MARTS_RXN_3e20a5676626288a
MARTS_RXN_f7cc3793e8fe05f4,C20_GGPP_like::MARTS_RXN_618cb8d5f98f8d39
MARTS_RXN_618cb8d5f98f8d39,C20_GGPP_like::MARTS_RXN_618cb8d5f98f8d39
MARTS_RXN_adb450f93ec6df77,C20_GGPP_like::MARTS_RXN_618cb8d5f98f8d39
MARTS_RXN_29704a84d49c8b3b,C20_GGPP_like::MARTS_RXN_29704a84d49c8b3b
MARTS_RXN_5d8d9a77365d75b5,C20_GGPP_like::MARTS_RXN_00588b0f0a754835
